, 1, Maria Joaquina das Dores, 31999796149, maria123412@gmail.com, 51, 123.125.456-80, Belo Horizonte
, 2, Joaquim Fonseca dos Santos, 31129381293, joaquimfonseca67@gmail.com, 66, 123.346.765-10, Belo Horizonte
, 3, Adairton , 21123124125, adairtonjorge@yahoo.com.br, 42, 091.214.346-50, Rio de Janeiro
, 4, Ednaldo da Cruz Pereira, 83912335232, pereira069@gmail.com, 30, 126.129.794-68, Jo∆o Pessoa
, 5, Marques Leonardo Rocha , 11492304234, marqueslr@gmail.com, 25, 123.123.929-90, Sao Paulo
, 6, Joao Luiz Columbine, 31129391231, columbine1239@gmail.com, 22, 923.123.346-70, Belo Horizonte
, 7, Gabriel Victor Moreira, 31495923452, gabrielvictor12@gmail.com, 19, 121.903.293-69, Belo Horizonte
, 8, Gustavo Nascimento Rosa, 11912391290, gunarosa@gmail.com, 29, 192.854.123-34, S∆o Paulo
, 9, Cristina Alves Ferreira, 21184718274, crisfe@gmail.com, 46, 923.782.192-12, Rio de Janeiro
, 10, LAILA DE FATIMA DIAS, 31 932314235, Laila123@gmail.com, 22, 323.345.678-24, Belo Horizonte
, 11, RAFAEL ALVES DOS SANTOS, 31 923424587, Rafael123@gmail.com, 18, 564.346.567-23, Ouro preto
, 12, PATRICK DE SOUZA LIMA, 32 936734748, Patrick@gmail.com, 18, 345.567.645-43, Nova lima
, 13, GABRIEL GOMES SOUSA, 81 , Gabriel@gmail.com, 22, 745.372.023-23, Belo Horizonte
, 14, DIEGO SAVIO ALVES ROCHA, 31 923454365, Diego@gmail.com, 45, 237.435.582-29, Belo Horizonte
, 15, JOAO VITOR RAMOS DA SILVA, 31 923451236, Joao@gmail.com, 23, 678.345.456-64, Belo Horizonte
, 16, HENRIQUE RODRIGUES LOPES, 31 934522453, Henrique@gmail.com, 20, 786.423.567-87, Belo Horizonte
, 17, GUSTAVO PEREIRA FELIX, 31 923455644, Gustavo@gmail.com, 18, 465.678.456-35, Belo Horizonte
, 18, MATEUS MEIRA SANTOS, 31 934512342, Mateus@gmail.com, 19, 923.534.785-32, Belo Horizonte
